filename,COV_INSTRUCTION,COV_BRANCH,COV_LINE,COV_COMPLEXITY,COV_METHOD,bug
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProject.java,0.296296296,0.5,0.3125,0.333333333,0.375,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableProjectToCalcRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRel.java,0.691729323,0.571428571,0.633333333,0.533333333,0.545454545,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRelImplementor.java,0.950631458,0.724137931,0.986725664,0.673469388,1,1
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableRules.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoin.java,0.863157895,0.5,0.853658537,0.6,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSemiJoinRule.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSort.java,0.938461538,0.5,1,0.714285714,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableSortRule.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableFunctionScan.java,0.844155844,0.666666667,0.941176471,0.5,0.666666667,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableFunctionScanRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModify.java,0.904214559,0.5625,0.971428571,0.416666667,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableModifyRule.java,0.956521739,0.5,0.941176471,0.666666667,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableScan.java,0.91280654,0.796875,0.9375,0.711111111,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableTableScanRule.java,1,1,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableThetaJoin.java,0.883333333,0.5,0.845070423,0.533333333,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUncollect.java,0.913978495,0.5,1,0.666666667,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUncollectRule.java,1,0,1,1,1,0
core/src/main/java/org/apache/calcite/adapter/enumerable/EnumerableUnion.java,1,1,1,1,1,1
